location,floor,name,品牌連結,資料來源網址,類別
桃園遠東百貨,1F,LA MER 海洋拉娜,https://www.feds.com.tw/tw/40/MallInfo/FloorStore?FloorId=76&StoreId=8563&tab=floor-1F&EntryPoint=info_floors&Source=Website,https://www.feds.com.tw/tw/40/MallInfo?tab=floor-1F&Source=Website&EntryPoint=info_floors,彩妝保養
桃園遠東百貨,1F,LANCÔME 蘭蔻,https://www.feds.com.tw/tw/40/MallInfo/FloorStore?FloorId=76&StoreId=6091&tab=floor-1F&EntryPoint=info_floors&Source=Website,https://www.feds.com.tw/tw/40/MallInfo?tab=floor-1F&Source=Website&EntryPoint=info_floors,彩妝保養
桃園遠東百貨,1F,L'OCCITANE 歐舒丹,https://www.feds.com.tw/tw/40/MallInfo/FloorStore?FloorId=76&StoreId=6574&tab=floor-1F&EntryPoint=info_floors&Source=Website,https://www.feds.com.tw/tw/40/MallInfo?tab=floor-1F&Source=Website&EntryPoint=info_floors,彩妝保養
桃園遠東百貨,1F,M.A.C,https://www.feds.com.tw/tw/40/MallInfo/FloorStore?FloorId=76&StoreId=6575&tab=floor-1F&EntryPoint=info_floors&Source=Website,https://www.feds.com.tw/tw/40/MallInfo?tab=floor-1F&Source=Website&EntryPoint=info_floors,彩妝保養
桃園遠東百貨,1F,Origins 品木宣言,https://www.feds.com.tw/tw/40/MallInfo/FloorStore?FloorId=76&StoreId=6576&tab=floor-1F&EntryPoint=info_floors&Source=Website,https://www.feds.com.tw/tw/40/MallInfo?tab=floor-1F&Source=Website&EntryPoint=info_floors,彩妝保養
桃園遠東百貨,1F,SHISEIDO 資生堂 國際櫃,https://www.feds.com.tw/tw/40/MallInfo/FloorStore?FloorId=76&StoreId=6582&tab=floor-1F&EntryPoint=info_floors&Source=Website,https://www.feds.com.tw/tw/40/MallInfo?tab=floor-1F&Source=Website&EntryPoint=info_floors,彩妝保養
桃園遠東百貨,1F,SHISEIDO 資生堂 東京櫃,https://www.feds.com.tw/tw/40/MallInfo/FloorStore?FloorId=76&StoreId=6581&tab=floor-1F&EntryPoint=info_floors&Source=Website,https://www.feds.com.tw/tw/40/MallInfo?tab=floor-1F&Source=Website&EntryPoint=info_floors,彩妝保養
桃園遠東百貨,1F,shu uemura 植村秀,https://www.feds.com.tw/tw/40/MallInfo/FloorStore?FloorId=76&StoreId=6579&tab=floor-1F&EntryPoint=info_floors&Source=Website,https://www.feds.com.tw/tw/40/MallInfo?tab=floor-1F&Source=Website&EntryPoint=info_floors,彩妝保養
桃園遠東百貨,1F,sisley 希思黎,https://www.feds.com.tw/tw/40/MallInfo/FloorStore?FloorId=76&StoreId=6577&tab=floor-1F&EntryPoint=info_floors&Source=Website,https://www.feds.com.tw/tw/40/MallInfo?tab=floor-1F&Source=Website&EntryPoint=info_floors,彩妝保養
桃園遠東百貨,1F,SK-II,https://www.feds.com.tw/tw/40/MallInfo/FloorStore?FloorId=76&StoreId=6578&tab=floor-1F&EntryPoint=info_floors&Source=Website,https://www.feds.com.tw/tw/40/MallInfo?tab=floor-1F&Source=Website&EntryPoint=info_floors,彩妝保養
